zoneid,areatype05,areatype10,areatype15,areatype20,areatype30,areatype35,areatype40,ciacre05,ciacre10,ciacre15,ciacre20,ciacre30,ciacre35,ciacre40,resacre05,resacre10,resacre15,resacre20,resacre30,resacre35,resacre40,sfdu05,sfdu10,sfdu15,sfdu20,sfdu30,sfdu35,sfdu40,mfdu05,mfdu10,mfdu15,mfdu20,mfdu30,mfdu35,mfdu40,terminal05,terminal10,terminal15,terminal20,terminal30,terminal35,terminal40,oprkcst05,oprkcst10,oprkcst15,oprkcst20,oprkcst30,oprkcst35,oprkcst40,prkcst05,prkcst10,prkcst15,prkcst20,prkcst30,prkcst35,prkcst40,FID
444,4,4,4,4,4,4,4,107,107,107,107,107,107,107,258,261.42572,261.42572,261.42572,272.46036,272.46036,272.46036,1474,1532,1532,1532,1532,1532,1532,603,894,894,894,1573,1573,1573,1.32439,1.32762,1.36041,1.36358,1.46464,1.46926,1.47383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,704
445,4,4,4,4,4,4,4,60,60,60,60,60,60,60,275,277,277,277,277,277,277,905,913,913,913,910,908,899,2395,2515,2515,2515,2539,2563,2633,1.38946,1.42124,1.45235,1.47927,1.50939,1.51367,1.53695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,705
446,4,4,4,4,4,4,4,64,64,64,64,64,64,64,308,308.20541,309.12738,309.12738,309.14584,326.47604,326.72302,875,982,982,982,977,1267,1251,2036,2401,2443,2443,2555,11635,12828,1.39607,1.31472,1.32864,1.3442,1.3687,2.57368,2.66065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,706
447,4,4,4,4,4,4,4,39,39,39,39,39,39,39,202,206,206,206,206.32643,206.32643,206.32643,1000,1079,1079,1079,1085,1085,1085,869,962,962,962,1012,1012,1215,1.27461,1.29498,1.30921,1.33412,1.35601,1.35983,1.39398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,707
448,4,4,4,4,4,4,4,98,98,98,98,98,98,98,178,179.64613,179.64613,179.64613,181.70834,185.13594,185.71495,535,578,578,578,578,578,578,2581,2879,2879,2879,3288,3923,4030,1.5143,1.60332,1.65595,1.66192,1.75518,1.85969,1.88354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,708
449,4,4,4,4,4,4,4,76,76,76,76,76,76,76,281,280,280,280,280,280,281.8396,959,960,960,960,960,960,958,1877,1985,1985,1985,1985,1985,2269,1.34548,1.4482,1.49595,1.54667,1.55571,1.96835,2.0865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,709
450,3,3,3,3,3,3,3,169,169,169,169,169,169,169,159,163.53107,163.53107,163.53107,164.95749,172.51218,191.0358,865,957,956,956,958,958,958,873,1541,1547,1547,2050,3728,7845,1.45681,1.541,1.67516,1.62169,1.71282,1.88788,2.27515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,710
727,4,4,4,4,4,4,4,55,55,55,55,55,55,55,236,236,236,236,236,236,236,1051,1097,1097,1097,1097,1097,1097,33,26,26,26,26,26,26,1.13522,1.14702,1.15764,1.16711,1.17758,1.178,1.17806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,711
728,4,4,4,4,4,4,4,533,594.48328,713.63165,713.63165,697.68555,684.64532,679.10925,751,752,752,752,767.94611,780.98633,786.5224,2218,2145,2145,2145,2145,2145,2145,336,256,256,256,1958,3407,4022,1.23017,1.09316,1.10804,1.11156,1.16926,1.21358,1.26901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,712
729,4,4,4,4,4,4,4,64,134.90224,134.90224,134.90224,123.89036,101,101,232,2183,2183,2183,2277.73828,2583.55518,2612.41309,316,3828,3828,3828,7360,9168,10236,32,2,2,2,1545,2164,3654,1.14213,1.05248,1.0702,1.07125,1.17712,1.18999,1.23402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,713
730,5,5,5,5,5,5,5,1223,1299,1299,1299,1299,1299,1299,486,516.53827,516.53827,516.53827,516.72845,517.60065,537.8186,1484,1697,1697,1697,1696,1698,1701,1297,1433,1433,1433,3723,3751,4425,1.13031,1.11895,1.13951,1.1561,1.31659,1.33998,1.37442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714
731,4,4,4,4,4,4,4,21,21,21,21,21,21,21,223,246.90195,246.90195,246.90195,246.90195,246.90195,246.90195,931,468,468,468,468,468,468,1642,386,386,386,386,386,386,1.3312,1.18382,1.17783,1.1878,1.19475,1.19587,1.19738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715
732,4,4,4,4,4,4,4,351,351,351,351,351,351,351,371,371,371,371,372.00394,372.00394,372.55881,1934,1582,1582,1582,1611,1611,1625,283,290,290,290,290,290,290,1.52342,1.27245,1.3125,1.33443,1.35196,1.35483,1.35781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,716
733,4,4,4,4,4,4,4,291,291,291,291,291,291,291,468,468,468,468,471.83844,475.62726,478.12915,2242,1872,1872,1872,1872,1872,1872,242,429,429,429,590,735,832,1.39429,1.3021,1.36119,1.36752,1.38685,1.39258,1.43983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,717
734,4,4,4,4,4,4,4,71,79,79,79,79,79,79,700,767,767,767,767,771.81287,771.81287,2913,2382,2382,2382,2382,2528,2532,281,308,308,308,308,308,308,1.28509,1.12939,1.14612,1.15901,1.17245,1.17387,1.17821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,718
735,5,5,5,5,5,5,5,13,13,13,13,13,13,13,1041,1055,1055,1055,1056.61194,1056.61194,1056.61194,1052,1267,1267,1267,1291,1291,1291,188,1,1,1,1,1,1,1.00614,1.00974,1.01373,1.02041,1.02224,1.02111,1.01915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,719
736,3,3,3,3,3,3,3,283,283,283,283,283,283,283,748,744,744,744,744,744.91626,770.06201,2484,2098,2098,2098,2098,2121,2754,729,537,537,537,537,537,537,1.37672,1.48105,1.53599,1.54767,1.55271,1.53973,1.53391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,720
737,4,4,4,4,4,4,4,272,272,272,272,272,272,272,542,515,515,515,515,515,515,1680,1558,1558,1558,1558,1558,1558,0,0,0,0,0,0,0,1.50418,1.32074,1.37986,1.38683,1.3992,1.4019,1.40465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,721
738,4,4,4,4,4,4,4,14,14,14,14,14,14,14,436,437,437,437,437,437,439.53027,1900,1767,1767,1767,1767,1767,1828,122,222,222,222,222,222,222,1.17544,1.12757,1.15053,1.15439,1.17739,1.18765,1.20085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,722
739,4,4,4,4,4,4,4,234,273.55017,273.55017,273.55017,273.55017,273.55017,273.55017,160,191,191,191,191,191.24562,191.24562,598,1046,1046,1046,1046,1053,1053,1177,1156,1156,1156,1156,1156,1156,1.83004,2.02837,2.1327,2.18223,2.18648,2.1861,2.17055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,723
769,4,4,4,4,4,4,4,244,244,244,244,244,244,244,605,666,666,666,666,666,666.34454,2470,2439,2496,2496,2496,2496,2577,1267,0,0,0,0,0,0,1.26463,1.23202,1.25176,1.25701,1.26382,1.26267,1.26289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,724
