InputID,TargetID,Distance
"430",FRMT,19906.8237805825
"433",FRMT,22321.2474860333
"435",FRMT,22050.2713425624
"602",FRMT,22515.1776338106
"608",FRMT,16826.2792279662
"769",UCTY,7860.02196364447
"1135",PHIL,1368.48113327152
"1202",PITT,4448.40809892401
"348",UCTY,24605.9530608457
"349",UCTY,22807.5417244996
"350",UCTY,23240.7116115803
"351",UCTY,21585.8996041377
"396",FRMT,18650.4739810639
"398",FRMT,19906.5178247922
"1368",RICH,73744.2138683238
"400",FRMT,18838.2786700077
"1236",DELN,21622.5339997316
"1241",DELN,23105.8993033876
"1240",DELN,24062.5640731236
"1243",DELN,24361.3285232748
"1212",NCON,14473.6570288313
"1211",NCON,13477.4412781341
"1218",NCON,18687.4420157551
"1360",RICH,63446.2300759783
"1364",RICH,65757.5995416758
"1357",RICH,64410.2743596219
"1369",RICH,69867.6233900942
"1373",RICH,67520.6232778577
"1372",RICH,67349.1213610508
"1376",RICH,65089.3825117581
"1378",RICH,63416.9159464878
"1384",RICH,68047.7317260879
"1390",RICH,82788.7400645612
"1370",RICH,71018.2701366502
"1371",RICH,68268.8990504339
"1374",RICH,66202.3348188818
"1377",RICH,64647.30346948
"1382",RICH,67663.6016907935
"1375",RICH,66473.5002518197
"1379",RICH,62590.7305722778
"1380",RICH,59894.2115345683
"403",FRMT,16775.5915392473
"404",FRMT,13483.3025432369
"405",FRMT,12812.4558191718
"407",FRMT,20230.0745435479
"409",FRMT,18786.3398641784
"410",FRMT,17669.2606634722
"412",FRMT,16434.3652995776
"415",FRMT,18147.5359079849
"416",FRMT,16684.6565646458
"419",FRMT,18133.7044091681
"1217",NCON,15958.8580022182
"1215",NCON,14786.7417229372
"1213",NCON,13799.4837575898
"1248",NCON,30457.1124727573
"1391",RICH,87285.0359557261
"1393",RICH,80083.2777207341
"1395",RICH,76955.7863078829
"1398",RICH,87621.3102331793
"1400",RICH,92043.5121577506
"1401",RICH,97120.092708716
"1402",RICH,113926.231254705
"1403",RICH,108150.611999063
"1389",RICH,72839.664164823
"1",EMBR,138.271984870286
"3",MONT,453.928461109015
"5",POWL,356.951369003153
"12",MONT,334.248843682946
"13",MONT,244.360142675302
"15",EMBR,293.821451212556
"18",POWL,1047.40304554519
"20",CIVC,594.908972866865
"23",EMBR,1006.18823948982
"215",SSAN,1192.02247880005
"347",FRMT,30384.4143489288
"1381",RICH,62500.4059618573
"1386",RICH,62899.5601818862
"1385",RICH,64548.2555545918
"1387",RICH,58929.0587088418
"1388",RICH,64105.5533207206
"426",FRMT,20124.8458173495
"427",FRMT,19835.1353644461
"431",FRMT,20773.8713351874
"432",FRMT,21577.7130013763
"434",FRMT,22094.4543633621
"538",FRMT,26095.6557360827
"539",FRMT,24550.3222175328
"603",FRMT,21635.0716338525
"604",FRMT,19376.8615945017
"607",FRMT,16404.7975568628
"750",FRMT,10543.2169016202
"752",FRMT,6967.57002523324
"1247",NCON,20805.8755904109
"1249",NCON,24779.4792120268
"1268",NCON,32839.442656175
"1332",RICH,40891.9723956187
"1326",RICH,37848.9746806449
"1327",RICH,40728.2023649469
"1331",RICH,42823.8357589417
"1330",RICH,43105.6123278085
"1383",RICH,71281.7523926367
